X	Y	mean	nr_fire	nr_100km2	gridsize
-173.5	-22.5	0	0	0	1144859.792
-173.5	-21.5	0	0	0	1152961.644
-173.5	-20.5	0	0	0	1160712.293
-173.5	-19.5	0	0	0	1168109.378
-173.5	-18.5	0	0	0	1175150.645
-173.5	-17.5	0	0	0	1181833.95
-173.5	-16.5	0	0	0	1188157.257
-173.5	-15.5	0	0	0	1194118.639
-173.5	-14.5	0	0	0	1199716.282
-173.5	-13.5	0	0	0	1204948.479
-173.5	-12.5	0	0	0	1209813.637
-173.5	-11.5	0	0	0	1214310.274
-173.5	-10.5	0	0	0	1218437.02
-173.5	-9.5	0	0	0	1222192.619
-173.5	-8.5	0	0	0	1225575.926
-173.5	-7.5	0	0	0	1228585.91
-173.5	-6.5	0	0	0	1231221.655
-173.5	-5.5	0	0	0	1233482.358
-173.5	-4.5	0	0	0	1235367.33
-173.5	-3.5	0	0	0	1236875.997
-173.5	-2.5	0	0	0	1238007.9
-173.5	-1.5	0	0	0	1238762.693
-173.5	-0.5	0	0	0	1239140.147
-173.5	0.5	0	0	0	1239140.147
-173.5	1.5	0	0	0	1238762.693
-173.5	2.5	0	0	0	1238007.9
-173.5	3.5	0	0	0	1236875.997
-173.5	4.5	0	0	0	1235367.33
-173.5	5.5	0	0	0	1233482.358
-173.5	6.5	0	0	0	1231221.655
-173.5	7.5	0	0	0	1228585.91
-173.5	8.5	0	0	0	1225575.926
-173.5	9.5	0	0	0	1222192.619
-173.5	10.5	0	0	0	1218437.02
-173.5	11.5	0	0	0	1214310.274
-173.5	12.5	0	0	0	1209813.637
-173.5	13.5	0	0	0	1204948.479
-173.5	14.5	0	0	0	1199716.282
-173.5	15.5	0	0	0	1194118.639
-173.5	16.5	0	0	0	1188157.257
-173.5	17.5	0	0	0	1181833.95
-172.5	-35.5	0	0	0	1008841.594
-172.5	-34.5	0	0	0	1021246.691
-172.5	-33.5	0	0	0	1033340.707
-172.5	-32.5	0	0	0	1045119.957
-172.5	-31.5	0	0	0	1056580.854
-172.5	-30.5	0	0	0	1067719.906
-172.5	-29.5	0	0	0	1078533.72
-172.5	-28.5	0	0	0	1089019.002
-172.5	-27.5	0	0	0	1099172.558
-172.5	-26.5	0	0	0	1108991.296
-172.5	-25.5	0	0	0	1118472.224
-172.5	-24.5	0	0	0	1127612.455
-172.5	-23.5	0	0	0	1136409.204
-172.5	-22.5	0	0	0	1144859.792
-172.5	-21.5	0	0	0	1152961.644
-172.5	-20.5	0	0	0	1160712.293
-172.5	-19.5	0	0	0	1168109.378
-172.5	-18.5	0	0	0	1175150.645
-172.5	-17.5	0	0	0	1181833.95
-172.5	-16.5	0	0	0	1188157.257
-172.5	-15.5	0	0	0	1194118.639
-172.5	-14.5	0	0	0	1199716.282
-172.5	-13.5	0	0	0	1204948.479
